document,feed,title,url,pubdate,created
57058951c180812e940808fa,56d609d1c180811310e52bff,Helping Writers With a Windfall Avoid a Downfall,http://rss.nytimes.com/c/34625/f/640314/s/4ec519a9/sc/13/l/0L0Snytimes0N0C20A160C0A40C0A70Cbooks0Chelping0Ewriters0Ewith0Ea0Ewindfall0Eavoid0Ea0Edownfall0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1459979753000,1459980625553
57064a12c180812e94096104,56e71c0bc180817118d3c9f9,"bibliolectors:

Library / Biblioteca (ilustración de Stanford...",http://prettybooks.tumblr.com/post/142396520130,1460018178000,1460029970824
5706a26ec180810ca3948d89,56e71c0bc180817118d3ca03,Kwame Alexander on winning the Newbery Award: 'I'm going to keep it real with you',http://www.latimes.com/books/jacketcopy/la-ca-jc-kwame-alexander-20160410-story.html,1460023200000,1460052590916
5706a274c180810ca3948e9d,56e71c0bc180817118d3ca14,Beverly Cleary letter to Lois Darling,http://www.hbook.com/2016/04/authors-illustrators/beverly-cleary-letter-to-lois-darling/,1460044521000,1460052596799
57088d9bc180810ca3981838,56e71c0bc180817118d3ca1c,Women Write War: 4 Books,https://arablit.org/2016/04/05/women-write-war-4-books/,1459830606000,1460178331757
5708af37c180810ca398512a,56e71c0bc180817118d3ca09,Joan Didion Talks About Female Writers,https://101books.net/2016/02/03/joan-didion-talks-about-female-writers/,1454506713000,1460186935398
5708e2cac180810ca398a708,56e71c0bc180817118d3ca0a,Free Book – SQL Server 2014 Development Essentials,http://feeds.feedblitz.com/~/148449824/0/booksontheknob~Free-Book-%e2%80%93-SQL-Server-Development-Essentials.html,1460197675000,1460200138003
570d0259c180810ca3a00d6f,56d609d1c180811310e52c07,"Lego Karl Ove, and Other News",http://www.theparisreview.org/blog/2016/04/12/lego-karl-ove-and-other-news/,1460467114000,1460470361471
570df80cc180810ca3a1ffc6,56e71c0bc180817118d3ca32,Homer: inspiration and controversy [Infographic],http://feedproxy.google.com/~r/oupblog/~3/htvOJnl9K04/,1460532647000,1460533260699
570e3b18c1808103a2789d27,56d609d1c180811310e52c01,Dan Weiss’s Morning Coffee,http://therumpus.net/2016/04/dan-weisss-morning-coffee-1340/,1460541623000,1460550424730
570e3c1dc1808103a278a7dd,56e71c0bc180817118d3c9f9,"booklover:

tolkien nerd (by januarychild)",http://prettybooks.tumblr.com/post/142730535252,1460536572000,1460550685398
570e672ac1808109b8319bda,56d609d1c180811310e52c0b,Hachette and Kadokawa to Establish Yen Press LLC,http://www.adweek.com/galleycat/hachette-and-kadokawa-to-establish-yen-press-llc/118917,1460561127000,1460561706146
570eadabc1808109b83230d4,56d609d1c180811310e52c01,The Heroine’s Journey,http://therumpus.net/2016/04/the-heroines-journey/,1460577640000,1460579755354
57100798c1808128a22d9a9f,56e71c0bc180817118d3c9f9,"readthemoon:

Just finished reading Calm by Michael Acton Smith...",http://prettybooks.tumblr.com/post/142784111456,1460622973000,1460668312609
57111cc1c1808128a22fb0f9,56d609d1c180811310e52bff,"‘America’s War for the Greater Middle East,’ by Andrew J. Bacevich",http://rss.nytimes.com/c/34625/f/640314/s/4ef81e32/sc/31/l/0L0Snytimes0N0C20A160C0A40C170Cbooks0Creview0Camericas0Ewar0Efor0Ethe0Egreater0Emiddle0Eeast0Eby0Eandrew0Ej0Ebacevich0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1460733037000,1460739265995
57113732c1808128a22fd553,56d609d1c180811310e52c05,Stories in Space,http://feedproxy.google.com/~r/themillionsblog/fedw/~3/y1oO1n6Nbnw/stories-in-space.html,1460741409000,1460746034694
571493c2c1808128a2345407,56e71c0bc180817118d3ca2a,Sweet Starfire by Jayne Ann Krentz,http://smartbitchestrashybooks.com/reviews/sweet-starfire-jayne-ann-krentz/,1460962853000,1460966338228
57177a18c1808103a0d1d335,56d609d1c180811310e52c02,On Sonnet 50,http://granta.com/on-sonnet-50/,1461065325000,1461156376794
5717d7e8c1808103a0d26ba0,56d609d1c180811310e52c0b,DC Comics Female Characters: INFOGRAPHIC,http://www.adweek.com/galleycat/dc-comics-female-characters-infographic/119227,1461179422000,1461180392288
571a1e5ac1808103a0d5ef3a,56d609d1c180811310e52c07,"Triumphantly, Brilliantly Kaleidoscopic, and Other News",http://www.theparisreview.org/blog/2016/04/22/triumphantly-brilliantly-kaleidoscopic-and-other-news/,1461329150000,1461329498343
571a6819c1808103a0d66bb3,56e71c0bc180817118d3ca03,23 essential new books by Latino poets,http://www.latimes.com/books/jacketcopy/la-ca-jc-23-poetry-books-20160422-snap-htmlstory.html,1461319020000,1461348377893
571ded88c1808103a0db7736,56d609d1c180811310e52c05,Years with Yoko,http://feedproxy.google.com/~r/themillionsblog/fedw/~3/Y1lQf-BQx3s/years-with-yoko.html,1461578407000,1461579144810
571f4c64c1808103a0dd8d85,56d609d1c180811310e52c01,Dan Weiss’s Morning Coffee,http://therumpus.net/2016/04/dan-weisss-morning-coffee-1349/,1461664813000,1461668964029
571fc1d9c1808103a0de4b8c,56d609d1c180811310e52c03,Quick 2016 Hugo Finalist Thoughts (With a Link to Even More Hugo Thoughts),http://whatever.scalzi.com/2016/04/26/quick-2016-hugo-finalist-thoughts-with-a-link-to-even-more-hugo-thoughts/,1461696098000,1461699033300
5721215ac1808103a0e0712b,56d609d1c180811310e52c08,"""There's Just You and the Bad Guy"" - Katie Ruggle on Her New Romantic Suspense Novel",http://www.omnivoracious.com/2016/04/katie-ruggle-on-her-new-romantic-suspense-novel-amazon-book-review.html,1461787564000,1461789018991
57219adac1808103a0e1322d,56e71c0bc180817118d3ca1c,Congratulations to Eight Emerging Arabic Novelists Who Won 2016 AFAC Grants,https://arablit.org/2016/04/28/congratulations-to-eight-emerging-arabic-novelists-who-won-2016-afac-grants/,1461816123000,1461820122625
5722866fc1808103a0e2a63f,56e71c0bc180817118d3ca14,"Mock book awards | Class #6, 2016",http://www.hbook.com/2016/04/blogs/lollys-classroom/mock-book-awards-class-6-2016/,1461877911000,1461880431011
57233e2cc1808103a0e3aa87,56d609d1c180811310e52c0c,Three Important Re-Tellings of Lovecraft,http://feedproxy.google.com/~r/bookriot/WlRy/~3/7YTlHPJrCaA/,1461926024000,1461927468351
57239b60c1808103a0e447db,56d609d1c180811310e52c0a,'New Yorker' Cartoonist And TV Producer Writes 'Honest Portrait' Of His Parents,http://www.npr.org/2016/04/29/476097690/new-yorker-cartoonist-and-tv-producer-writes-honest-portrait-of-his-parents?utm_medium=RSS&utm_campaign=books,1461950940000,1461951328226
5728f603c180817cd22b8cc9,56e71c0bc180817118d3c9fa,Review: Two If by Sea,http://feedproxy.google.com/~r/BookingMama/~3/aWJmR0-cEG0/review-two-if-by-sea.html,1462274760003,1462302211841
5729f472c180817cd22d0978,56d609d1c180811310e52c01,Telling Your Own Truth,http://therumpus.net/2016/05/telling-your-own-truth/,1462366831000,1462367346064
572b104bc180817cd22ec945,56e71c0bc180817118d3ca32,The hardest question for scientists,http://feedproxy.google.com/~r/oupblog/~3/Df4eRAIQ9WA/,1462433400000,1462440011441
572bb283c180817cd22fcef5,56d609d1c180811310e52c0b,Bryan Cranston’s Memoir Drops in October,http://www.adweek.com/galleycat/bryan-cranstons-memoir-drops-in-october/119908,1462478781000,1462481539990
572ce5fbc180817cd231a902,56d609d1c180811310e52c01,HORN! REVIEWS: Problems,http://therumpus.net/2016/05/horn-reviews-problems/,1462559442000,1462560251870
572d0034c180817cd231dc58,56e71c0bc180817118d3ca14,"Week in Review, May 2nd-6th",http://www.hbook.com/2016/05/news/week-in-review-may-2nd-6th/,1462561473000,1462566964251
5732f388c180817cd23ac411,56e71c0bc180817118d3ca32,Mindful exercise and meditation for the aging,http://feedproxy.google.com/~r/oupblog/~3/btaxdW4cnyU/,1462951820000,1462956936048
5734e8fac180811f3915a7c2,56e71c0bc180817118d3ca03,"Enrique Garcia Naranjo, on the importance of being Mexcellent",http://www.latimes.com/books/jacketcopy/la-ca-jc-enrique-garcia-naranjo-20160505-snap-story.html,1463043600000,1463085306343
5737973cc1808103a128a60a,56e71c0bc180817118d3ca19,Armchair BEA ~ Day 3 ~ Beyond the Blog,http://literatehousewife.com/2016/05/armchair-bea-day-3-beyond-the-blog/,1463136851000,1463260988243
57399af5c1808103a12c7d73,56d609d1c180811310e52bff,"Nonfiction: ‘The Romanovs: 1613-1918,’ by Simon Sebag Montefiore",http://www.nytimes.com/2016/05/22/books/review/the-romanovs-1613-1918-by-simon-sebag-montefiore.html?partner=rss&emc=rss,1463391001000,1463393013645
573cc672c18081690acd24cf,56d609d1c180811310e52c0b,DC Entertainment Reveals New Logo,http://www.adweek.com/galleycat/dc-entertainment-reveals-new-logo/120411,1463596223000,1463600754429
573e078ac180810be6e04d07,56e71c0bc180817118d3ca32,Realism of social and cultural origins,http://feedproxy.google.com/~r/oupblog/~3/6H1q9tsnsC0/,1463646601000,1463682954576
573ef60ec180810be6e23093,56d609d1c180811310e52c0c,The Book-Order Form Workaround,http://feedproxy.google.com/~r/bookriot/WlRy/~3/bIkpg6Ea1ug/,1463740537000,1463744014218
573f2a55c180810be6e2ae10,56e71c0bc180817118d3ca38,Coragem,http://feedproxy.google.com/~r/PauloCoelhosBlog/~3/-tsTssr6Z0Y/,1463753440000,1463757397854
5741bd83c180810be6e7bf6f,56d609d1c180811310e52c05,Parlez-vous Francais?,http://feedproxy.google.com/~r/themillionsblog/fedw/~3/ZUwboDZ3YGw/parlez-vous-francais-2.html,1463925615000,1463926147054
5745a9c7c180810be6efd70b,56d609d1c180811310e52c07,"This Guy Wanted to Sell You Some Furniture, and Other News",http://www.theparisreview.org/blog/2016/05/25/this-guy-wanted-to-sell-you-some-furniture-and-other-news/,1464182726000,1464183239735
56d625fac1808113ffb877f5,56d609d1c180811310e52bb0,"Facebook Moments now supports live videos - Android users can now stream, too",http://www.businessinsider.com/facebook-adds-live-videos-to-android-moments-2016-3,1456868640000,1456875002438
56d70ab5c180810560aeb7bc,56d609d1c180811310e52bab,"ADP Finds U.S. Private Sector Added 214,000 Jobs in February",http://rss.nytimes.com/c/34625/f/640316/s/4dfbde55/sc/13/l/0L0Snytimes0N0Creuters0C20A160C0A30C0A20Cbusiness0C0A2reuters0Eusa0Eeconomy0Eadp0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1456929208000,1456933557249
56d70ad3c180810560aeb87a,56d609d1c180811310e52bb0,Stock markets in the Gulf States are getting crushed by low oil prices,http://feedproxy.google.com/~r/businessinsider/~3/2jNNtq9Z-IY/gulf-states-stocks-crushed-by-low-oil-prices-2016-3,1456894080000,1456933587057
56d72b6fc18081071654e52e,56d609d1c180811310e52bb0,Consumer and retail news: 10 things you need to know today,http://www.businessinsider.com/consumer-and-retail-news-march-2-2016-3,1456937826000,1456941935129
56d750f3c18081081a6e2261,56d609d1c180811310e52bb0,Everything we know about Tesla's next car (TSLA),http://feedproxy.google.com/~r/businessinsider/~3/RUXo-UDk6CM/tesla-model-3-everything-we-know-2016-3,1456948260000,1456951539673
56d750f7c18081081a6e2289,56d609d1c180811310e52bb0,Mitt Romney will address the GOP presidential race in a surprise speech Thursday,http://feedproxy.google.com/~r/businessinsider/~3/FsDZvYlCQ00/mitt-romney-thursday-announcement-gop-race-2016-3,1456945556000,1456951543413
56d750f8c18081081a6e2290,56d609d1c180811310e52bb0,This futuristic 'vertical village' is like a jungle stretching 36 stories into the sky,http://feedproxy.google.com/~r/businessinsider/~3/04hwwuUybMo/futuristic-vertical-village-in-india-2016-2,1456944688000,1456951544079
56d76361c18081084b306835,56d609d1c180811310e52bb0,Photos take us inside ISIS' underground lair,http://www.businessinsider.com/isis-lair-2016-3,1456954135000,1456956257668
56d859c1c18081101b26a913,56d609d1c180811310e52bb0,Amazon wants to be in more rooms of your home with two new Echo devices (AMZN),http://feedproxy.google.com/~r/businessinsider/~3/vz8vdJShBCs/amazon-releases-two-new-echo-models-2016-3,1457013600000,1457019329942
56d8a18bc1808111c984596f,56d609d1c180811310e52bb0,"It's so warm in Alaska, the famous Iditarod dog-sled race had to ship in snow",http://feedproxy.google.com/~r/businessinsider/~3/24eX4Qla0G0/iditarod-ship-in-snow-2016-3,1457034900000,1457037707514
56d9ac0bc1808111c9858ce1,56d609d1c180811310e52bb0,"6 watches that are so classic, they'll never go out of style",http://feedproxy.google.com/~r/businessinsider/~3/9HwFNLJ5qew/watches-that-will-never-go-out-of-style-2016-3,1457103302000,1457105931973
56d9bccbc1808111c985a1e4,56d609d1c180811310e52bab,China’s Hard Target for Growth Increasingly Seen as Irrelevant,http://rss.nytimes.com/c/34625/f/640316/s/4e09e7a9/sc/27/l/0L0Snytimes0N0C20A160C0A30C0A50Cbusiness0Cinternational0Cchina0Eeconomic0Egrowth0Etarget0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1457108982000,1457110219122
56d9bccdc1808111c985a266,56d609d1c180811310e52bb0,11 examples of China making large-scale knock-offs of world-famous monuments,http://feedproxy.google.com/~r/businessinsider/~3/T4_C1x6Ma7c/fake-chinese-buildings-that-look-like-the-world-famous-originals-2015-7,1457108290000,1457110221568
56da2042c1808111c98627bc,56d609d1c180811310e52bb0,The Galaxy S7 will warn you if its too wet to charge,http://feedproxy.google.com/~r/businessinsider/~3/CuL3Cr8ELyE/the-galaxy-s7-wont-charge-if-still-wet-2016-3,1457127780000,1457135682180
56da204cc1808111c9862800,56d609d1c180811310e52bb0,Researchers think they've nailed down how Zika damages developing brains,http://feedproxy.google.com/~r/businessinsider/~3/WS-2j2E3pv0/r-study-shows-how-zika-virus-could-cause-fetal-brain-defects-2016-3,1457116500000,1457135692145
56da51c7c1808111c9866208,56d609d1c180811310e52bb0,Rupert Murdoch has married Jerry Hall,http://feedproxy.google.com/~r/businessinsider/~3/1h1MyOCKYBw/rupert-murdoch-has-married-jerry-hall-2016-3,1457124618000,1457148359374
56db276fc1808111c987405b,56d609d1c180811310e52bb0,Jeep is turning 75 — here's the history of the vehicle that helped win World War II (FCAU),http://feedproxy.google.com/~r/businessinsider/~3/6N7lIrdMtXg/take-a-look-at-75-years-of-jeep-2016-3,1457198100000,1457203055463
56dbbb81c1808111c987df93,56d609d1c180811310e52baf,500 rare Apple II programs and games are now preserved online at the Internet Archive,http://feedproxy.google.com/~r/Venturebeat/~3/LkuXQmfcM9w/,1457237767000,1457240961078
56dc5015c1808111c98872e4,56d609d1c180811310e52bb0,"How I went from $40,000 in debt to a millionaire by 30",http://feedproxy.google.com/~r/businessinsider/~3/vwh2-7f_7TU/how-i-went-from-40000-in-debt-to-a-millionaire-by-age-30-2016-2,1457213400000,1457278997384
56dca275c1808111c988c938,56d609d1c180811310e52bb0,A Harvard psychologist says your success in any situation hinges on 3 things,http://www.businessinsider.com/harvard-psychologist-amy-cuddy-on-presence-and-success-2016-2,1457294700000,1457300085142
56dd78b7c1808111c989aedd,56d609d1c180811310e52bb0,Uber says it's had 'fewer than 170 complaints' of sexual assaults involving rides in 3 years,http://feedproxy.google.com/~r/businessinsider/~3/m2Pwg6T-SKI/uber-shares-data-on-sexual-assult-complaints-2016-3,1457299384000,1457354935140
56dd78b7c1808111c989aee5,56d609d1c180811310e52bb0,The 16 best family cars for 2016,http://feedproxy.google.com/~r/businessinsider/~3/SKFdi3bRi94/16-best-family-cars-2016-kelley-blue-book-2016-3,1457297884000,1457354935707
56ddcc44c1808111c98a1d0f,56d609d1c180811310e52ba8,"Small Banks More Likely to Give Businesses the Funds They Need, Fed Says",http://feedproxy.google.com/~r/entrepreneur/latest/~3/9XpYNgZE24E/272063,1457373840000,1457376324848
56dddd14c1808111c98a34be,56d609d1c180811310e52bb0,These tiny horses have very big jobs to do,http://feedproxy.google.com/~r/businessinsider/~3/RUmT9JdJ-YE/tiny-therapy-horses-2016-3,1457378664000,1457380628388
56de303dc1808111c98a9fd2,56d609d1c180811310e52bb0,Fox News anchor grills Hillary Clinton on her email scandal,http://feedproxy.google.com/~r/businessinsider/~3/_2htgSb8II4/hillary-clinton-email-scandal-fox-news-town-hall-2016-3,1457396858000,1457401917465
56de823fc1808111c98af600,56d609d1c180811310e52bb0,A South Korean automaker is prepping a 'make or break' debut in the US,http://feedproxy.google.com/~r/businessinsider/~3/ZfwSlc7H6p0/r-ssangyong-motor-targets-us-entry-in-late-2019-ceo-2016-3,1457416800000,1457422911686
56dec3e9c1808111c98b38c6,56d609d1c180811310e52bad,Tapping China&#039;s Colossal Bridal Market,http://www.businessoffashion.com/articles/global-currents/tapping-chinas-colossal-bridal-wedding-market,1457439168000,1457439721617
56df061fc1808111c98b8959,56d609d1c180811310e52bae,BloombergTV Appearance: Presidential Elections & Investors,http://feedproxy.google.com/~r/TheBigPicture/~3/s2pl2ojREQM/,1457452803000,1457456671997
56df0621c1808111c98b8995,56d609d1c180811310e52bb0,23 incredible travel destinations you probably didn't know existed,http://feedproxy.google.com/~r/businessinsider/~3/7a4tRKvCxeU/the-best-unknown-travel-destinations-2016-3,1457454764000,1457456673809
56df16cac1808111c98b9fce,56d609d1c180811310e52bb0,The 25 best US cities for finding a job this spring,http://feedproxy.google.com/~r/businessinsider/~3/sODbqL6Wms0/best-cities-for-job-seekers-this-spring-2016-3,1457457900000,1457460938926
56df2765c1808111c98bb530,56d609d1c180811310e52ba8,Home Depot to Pay $19.5 Million Over Big 2014 Hack Attack,http://feedproxy.google.com/~r/entrepreneur/latest/~3/pPTZzL_COD4/272132,1457463259000,1457465189642
56df5911c1808111c98bf695,56d609d1c180811310e52bb0,DEUTSCHE BANK: Crude looks set to top $50 next year,http://feedproxy.google.com/~r/businessinsider/~3/-KtUateGwPQ/deutsche-bank-crude-looks-set-to-top-50-next-year-2016-3,1457475409000,1457477905812
56df8a05c1808111c98c33b4,56d609d1c180811310e52bab,World Briefing: Brazil: Former C.E.O. Is Sentenced to 19 Years in Corruption Inquiry,http://rss.nytimes.com/c/34625/f/640316/s/4e20b2e2/sc/16/l/0L0Snytimes0N0C20A160C0A30C0A90Cworld0Camericas0Cbrazil0Eformer0Eceo0Eis0Esentenced0Eto0E190Eyears0Ein0Ecorruption0Einquiry0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1457489369000,1457490437378
56e04f3ec1808111c98d0e9a,56d609d1c180811310e52bab,G.M. Recalls Midsize Pickups and Sedans Over Airbags,http://rss.nytimes.com/c/34625/f/640316/s/4e24eae5/sc/18/l/0L0Snytimes0N0Creuters0C20A160C0A30C0A90Cbusiness0C0A9reuters0Egm0Erecall0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1457534373000,1457540926053
56e04f43c1808111c98d0f35,56d609d1c180811310e52bb0,15 vintage photos that show what Hong Kong looked like in the 1950s and 1960s,http://feedproxy.google.com/~r/businessinsider/~3/Nz15AmKZJrg/photos-of-hong-kong-in-the-50s-and-60s-2016-3,1457537314000,1457540931204
56e070b0c1808111c98d3ae3,56d609d1c180811310e52bb0,"These beautiful tiny homes cost less than $20,000 to build — take a look inside",http://feedproxy.google.com/~r/businessinsider/~3/fP456LMDjD4/tiny-home-at-serenbe-is-affordable-and-beautiful-2016-2,1457548140000,1457549488707
56e0f48dc1808111c98ddefe,56d609d1c180811310e52bb0,China is trying to build an empire of electric cars — but the strategy has one huge flaw that will benefit Tesla,http://www.businessinsider.com/chinas-electric-car-market-not-tesla-2016-3,1457571300000,1457583245562
56e1a9bbc1808111c98ea6d0,56d609d1c180811310e52bb0,"7 tips to ace a final-stage engineering interview at Facebook, from a developer who conducts them",http://feedproxy.google.com/~r/businessinsider/~3/UHr4bAzvEao/how-to-prepare-for-facebook-engineering-interview-2016-3,1457628011000,1457629627731
56e1ba55c1808111c98ebca9,56d609d1c180811310e52baa,"The Best Entrepreneurs Think Globally, Not Just Digitally",http://feeds.harvardbusiness.org/~r/harvardbusiness/~3/ExBCXhoQsBc/the-best-entrepreneurs-think-globally-not-just-digitally,1457632812000,1457633877825
56e1ba5dc1808111c98ebda2,56d609d1c180811310e52bb0,Netflix has a foulmouthed new comedy show with Ashton Kutcher and Danny Masterson — here's the trailer,http://feedproxy.google.com/~r/businessinsider/~3/t-7rogenn6E/ashton-kutcher-and-danny-masterson-netflix-the-ranch-trailer-2016-3,1457630000000,1457633885471
56e1caefc1808111c98ed42c,56d609d1c180811310e52bab,F.C.C. Proposes Privacy Rules for Internet Providers,http://rss.nytimes.com/c/34625/f/640316/s/4e2cac49/sc/28/l/0L0Snytimes0N0C20A160C0A30C110Ctechnology0Cfcc0Eproposes0Eprivacy0Erules0Efor0Einternet0Eproviders0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1457633774000,1457638127705
56e1caf0c1808111c98ed487,56d609d1c180811310e52baf,Zube’s project management tool helps developers communicate with the team,http://feedproxy.google.com/~r/Venturebeat/~3/biokuGEiw3E/,1457634615000,1457638128973
56e21cf6c1808111c98f3e7d,56d609d1c180811310e52bab,"Hedge Fund Owner’s Suit Over F.B.I. Raid May Proceed, Judge Rules",http://rss.nytimes.com/c/34625/f/640316/s/4e2e4205/sc/13/l/0L0Snytimes0N0C20A160C0A30C110Cbusiness0Chedge0Efund0Eowners0Esuit0Eover0Efbi0Eraid0Emay0Eproceed0Ejudge0Erules0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1457656981000,1457659126975
